Column1;Column2;Column3
N_Elements;Counter;NlogN
10000;132702;132877
20000;285385;285754
30000;445337;446180
40000;610747;611508
50000;779914;780482
60000;950690;952360
70000;1124250;1126654
80000;1301492;1303016
90000;1480161;1481187
100000;1659740;1660964
110000;1840334;1842185
120000;2021353;2024720
130000;2202892;2208459
140000;2388480;2393309
150000;2575323;2579190
160000;2762970;2766033
170000;2951385;2953779
180000;3140215;3142374
190000;3329713;3331771
200000;3519612;3521928
210000;3709761;3712806
220000;3900532;3904371
230000;4091557;4096593
240000;4282656;4289441
250000;4474120;4482892
260000;4665989;4676919
270000;4860802;4871501
280000;5056987;5066618
290000;5253587;5262251
300000;5450631;5458380
310000;5648176;5654991
320000;5846017;5852067
330000;6044219;6049595
340000;6242696;6247559
350000;6441530;6445948
360000;6640558;6644749
370000;6839951;6843951
380000;7039364;7043543
390000;7239326;7243514
400000;7439146;7443856
410000;7639387;7644558
420000;7839828;7845612
430000;8040441;8047010
440000;8241163;8248743
450000;8442171;8450804
460000;8643002;8653186
470000;8844296;8855881
480000;9045496;9058883
490000;9246927;9262186
500000;9448477;9465784
510000;9650237;9669670
520000;9851967;9873839
530000;10055881;10078285
540000;10261692;10283003
550000;10467661;10487989
560000;10674047;10693237
570000;10880311;10898743
580000;11087135;11104502
590000;11294185;11310509
600000;11501205;11516761
610000;11708554;11723254
620000;11916176;11929983
630000;12123951;12136945
640000;12331879;12344135
650000;12540134;12551552
660000;12748371;12759190
670000;12956628;12967047
680000;13165325;13175119
690000;13373967;13383403
700000;13582816;13591896
710000;13791899;13800596
720000;14001017;14009498
730000;14210329;14218601
740000;14419770;14427902
750000;14629389;14637398
760000;14838929;14847086
770000;15048508;15056964
780000;15258356;15267029
790000;15468115;15477279
800000;15678588;15687712
810000;15888694;15898325
820000;16099021;16109116
830000;16309373;16320084
840000;16519648;16531225
850000;16730154;16742537
860000;16940643;16954020
870000;17151423;17165670
880000;17362194;17377486
890000;17573081;17589466
900000;17783701;17801608
910000;17995010;18013911
920000;18206189;18226372
930000;18417165;18438990
940000;18628621;18651763
950000;18839416;18864689
960000;19051042;19077767
970000;19262451;19290996
980000;19473631;19504373
990000;19685132;19717898
1000000;19896720;19931568
N_Elements;Counter;NlogN
