N_Elements,Counter,O(n)
10000,14962,10000
20000,29406,20000
30000,45463,30000
40000,63201,40000
50000,77124,50000
60000,94198,60000
70000,111203,70000
80000,127330,80000
90000,141847,90000
100000,163049,100000
110000,169066,110000
120000,178607,120000
130000,188686,130000
140000,219570,140000
150000,242659,150000
160000,266232,160000
170000,254534,170000
180000,288286,180000
190000,331344,190000
200000,321618,200000
210000,323426,210000
220000,353335,220000
230000,352461,230000
240000,387134,240000
250000,401247,250000
260000,410197,260000
270000,424821,270000
280000,429133,280000
290000,445496,290000
300000,482438,300000
310000,485005,310000
320000,476149,320000
330000,500297,330000
340000,534668,340000
350000,544606,350000
360000,560577,360000
370000,580942,370000
380000,621885,380000
390000,600953,390000
400000,621636,400000
410000,649245,410000
420000,667013,420000
430000,681845,430000
440000,650465,440000
450000,695380,450000
460000,721035,460000
470000,727582,470000
480000,770895,480000
490000,751195,490000
500000,825931,500000
510000,772950,510000
520000,836851,520000
530000,854993,530000
540000,823716,540000
550000,876661,550000
560000,894460,560000
570000,922105,570000
580000,900905,580000
590000,887950,590000
600000,974916,600000
610000,945668,610000
620000,959987,620000
630000,1059010,630000
640000,974721,640000
650000,1008656,650000
660000,1027583,660000
670000,1101464,670000
680000,1049753,680000
690000,1045344,690000
700000,1048186,700000
710000,1134312,710000
720000,1085632,720000
730000,1173686,730000
740000,1241904,740000
750000,1211253,750000
760000,1212812,760000
770000,1151619,770000
780000,1199775,780000
790000,1246869,790000
800000,1249054,800000
810000,1303319,810000
820000,1236724,820000
830000,1256697,830000
840000,1292649,840000
850000,1281917,850000
860000,1324655,860000
870000,1318429,870000
880000,1400363,880000
890000,1371683,890000
900000,1432671,900000
910000,1393795,910000
920000,1422559,920000
930000,1419902,930000
940000,1535147,940000
950000,1477050,950000
960000,1561758,960000
970000,1487824,970000
980000,1478288,980000
990000,1552084,990000
1000000,1512050,1000000
